Name,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Number of Employees,Headquarters Location,Founded Date
Flexpa,"Developer APIs, FinTech, Health Care","Flexpa allows digital health apps to connect to new patient access APIs. Flexpa develops an API to integrate claims histories into any digital health or fintech app. The company was founded in 2021 and is located in San Francisco, California.",Flexpa allows digital health apps to connect to new patient access APIs.,"Andreessen Horowitz, General Catalyst",Seed,"$8,500,000",11-50,"San Francisco, California, United States",2021
Ex-human,"Artificial Intelligence (AI), Chatbot","Ex-human creates customizable AI Humans for engaging conversations. We offer hyper-realistic AI characters, enhancing user engagement for entertainment companies, including Gaming, Dating, Chatbots, and Virtual Influencers.","Platform for AI Humans for immersive conversations. Our hyper-realistic characters boost engagement for games, datings and influencers.","Andreessen Horowitz, Soma Capital",Seed,"$800,000",11-50,"San Francisco, California, United States",May 2021
Optic,"Blockchain, Information Technology","Optic, an AI Drug Discovery company, based in San Francisco. Our proprietary a ligand-based and target-driven molecular search engine Bioptic.io identifies compounds by their activity-expressing fingerprints. It offering a novel approach to finding diverse set candidates. Our pipeline includes multiple pre-clinical stage programs, showcasing our commitment to practical, AI-driven solutions in cancer therapy.","AI-powered drug discovery platform for rapid molecule screening and testing, from target identification to lab validation.","Circle, CoinDCX, OpenSea, Polygon",Seed,"$11,000,000",11-50,"San Francisco, California, United States",Mar 2020
Mindy,"Generative AI, Search Engine",Mindy provides tangible value to your current communication channels. It can communicate with you via email and helps you with tasks ranging from conducting research for a paper to scheduling virtual meetings and planning your next vacation.,Mindy provides tangible value to your current communication channels.,Sequoia Capital,Seed,"$6,000,000",1-10,"San Francisco, California, United States",2023
Rezo Therapeutics,"Artificial Intelligence (AI), Biotechnology","Rezo Therapeutics identifies targets and therapies by combining distinct, unbiased technologies with artificial intelligence. Rezo's proprietary platform can be used to treat a wide range of diseases. Rezo's initial focus is oncology, with plans to expand into other therapeutic areas through collaborations and partnerships.","Rezo Therapeutics identifies targets and therapies by combining distinct, unbiased technologies with artificial intelligence.","Eli Lilly, Andreessen Horowitz",Series A,"$78,000,000",1-10,"South San Francisco, California",2021
RapidCanvas,"Artificial Intelligence (AI), Generative AI","RapidCanvas is the AI platform for business users. With RapidCanvas, organizations can develop bespoke high-performance, production-grade AI solutions 10x faster, all without the need for specialized data science knowledge or coding expertise, or any investments in professional services. Leveraging cutting-edge AutoAI technology, RapidCanvas effortlessly navigates users through an automated journey from raw data to explainable and actionable predictions. RapidCanvas works with industry leaders in manufacturing, direct-to-consumer, real estate, and financial services, empowering them to unlock the full potential of AI. For more information visit rapidcanvas.ai.","RapidCanvas is the AI platform for business users. It takes one week to get an AI POC, one month to get an AI solution. Or your money back.","Accel, Valley Capital Partners",Seed,"$7,500,000",11-50,"Austin, Texas, United States",2021
Mira,"Artificial Intelligence (AI), Information Technology",Mira is a decentralized infrastructure platform designed to increase access to advanced AI.,Mira is a decentralized infrastructure platform designed to increase access to advanced AI.,"BITKRAFT Ventures, Accel, Sandeep Nailwal",Seed,"$9,000,000",11-50,—,2024
Thatch,Health Care,Thatch helps businesses give great healthcare to their employees.,Thatch helps startups give great healthcare to their teams.,"Andreessen Horowitz, General Catalyst",Series A,"$38,000,000",11-50,"San Francisco, California, United States",Oct 2021
Base64.ai,"Artificial Intelligence (AI), Document Management","Base64.ai automates all document processes using Generative AI and Large Language Models. The startup is disrupting the $100 billion Intelligent Document Processing market with its unique capability to understand any document without training. It has four patent applications, supports over 2,800 document types, and has 400+ no-code integrations. It's at $1.2m GAAP ARR with 1.5x growth in the last three months. The startup was funded $2m in Q2 2022 by Long Journey Ventures, Prime Zero, and Sequoia Scout. The founder, Ozan Bilgen, was a software engineer/manager at Microsoft, Netflix, PayPal, Uber, and Palantir.",Intelligent document processing,"Sequoia Capital, Long Journey Ventures",Seed,"$3,720,000",11-50,"New York, New York, United States","Jan 15, 2020"
StackOne,"Data Integration, Developer APIs","StackOne allows you to build Integrations, easier, faster, and safer, enabling you to focus on your core product development, while effortlessly adding connectors to your customers' tools within your SaaS platform.","iPaaS with Unified API for HRIS, ATS, CRM, ESPs and more","Sequoia Capital, Playfair Capital",Seed,"€3,300,000",11-50,"London, England, United Kingdom",2023
HumanX,"Artificial Intelligence (AI), Software",HumanX focuses on AI serves as a catalyst for enterprises to identify realistic solutions in the rapidly changing AI field.,HumanX focuses on AI serves as a catalyst for enterprises.,"Andreessen Horowitz, Primary Venture Partners",Seed,"$6,000,000",11-50,"Las Vegas, Nevada, United States",2023
Patina,"Health Care, Primary and Urgent Care",We believe everyone should have the opportunity to live their best lives and age with dignity. That’s why we’re reinventing primary care with an approach designed to profoundly improve the healthcare and aging experience for older adults and their loved ones.,Patina is reinventing primary care for adults 65+ so everyone gets the healthcare and aging experience they deserve.,"Andreessen Horowitz, Google Ventures",Series A,"$50,000,000",11-50,"Philadelphia, Pennsylvania, United States",2020
Fortuna Health,"Health Care, Information Technology",Fortuna Health offers healthcare via navigating Medicaid.,"Fortuna streamlines Medicaid navigation for consumers, covering eligibility, enrollment, and renewal processes seamlessly.","Andreessen Horowitz, Y Combinator",Seed,"$4,000,000",1-10,"New York, New York, United States",2023
Distributional,"A/B Testing, Artificial Intelligence (AI)","Distributional makes AI safe, reliable and secure.","Distributional makes AI safe, reliable and secure.","Andreessen Horowitz, Point72 Ventures",Seed,"$11,000,000",1-10,"Berkeley, California, United States",2023
Topography Health,"Clinical Trials, Consulting, Health Care","Topography Health encourages physicians in private practice to participate in clinical trials in order to advance medical research. Topography assists medical practices in better understanding their patient populations, recommending which studies are likely to be taken up and have an impact, recruiting patients, and hiring and managing research staff. Topography-powered local clinical trials give patients with a wide range of health conditions access to personalized clinical trials for the first time.",Topography Health encourages physicians in private practice to participate in clinical trials in order to advance medical research.,"Andreessen Horowitz, FJ Labs",Series A,"$21,500,000",11-50,"Wilmington, North Carolina, United States",2020
Super Payments,"Financial Services, FinTech, Payments","Super Payments aims to transform the online shopping experience powering free payments for businesses, and rewarding shopping for members. Businesses on Super will only pay a commission if it results in an increase in sales, as opposed to charging merchants transaction fees.",Super Payments is a fintech that disrupts the industry behemoths Visa and MasterCard.,"Accel, Union Square Ventures",Pre-Seed,"$30,000,000",11-50,"London, England, United Kingdom","Feb 9, 2022"
Pace,"Health Care, Mental Health, mHealth",Pace is a mental fitness and social wellness platform that aims to help people connect emotionally with themselves and others. It collaborates with skilled mental health professionals to reimagine group connection and support.,"Pace provides online peer support groups to give and receive support, therapy for diagnosed conditions like addiction or depression.","Sequoia Capital, SV Angel, BoxGroup",Series A,"$13,000,000",11-50,"California City, California, United States",2020
PROOF,"Art, Blockchain, Communities","PROOF is a podcast that provides in-depth non-fungible token coverage. They interview NFT artists, both new and seasoned. They also explore the generative art scene, the NFT gaming/metaverse, and entrepreneurs who are creating new tools for creators and collectors.",PROOF is a podcast that provides in-depth non-fungible token coverage.,"Andreessen Horowitz, SV Angel",Series A,"$50,000,000",11-50,"Portland, Oregon, United States",2021
Meeno,"Artificial Intelligence (AI), Information Technology",Meeno offers an AI relationship mentoring app targeting young adults. It provides tailored coaching exercises that are mostly created and selected for Gen Z. It is structured as a vertical AI product.,Meeno offers an AI relationship mentoring app targeting young adults.,"Sequoia Capital, New Enterprise Associates",Seed,"$3,900,000",1-10,"San Francisco, California, United States",2023
FlyFin AI,"Financial Services, FinTech",FlyFin is a consumer startup that focuses on automating financial lives. A.I. scans for all possible tax deductions and simply connects all expense accounts & FlyFin eliminates 98% of the work.,FlyFin is a consumer startup that focuses on automating the financial lives.,"Accel, Alpha Wave Global",Seed,"$8,000,000",1-10,"San Jose, California, United States",2020
Valora,"Blockchain, Financial Services","Valora is a mobile crypto wallet that combines the power of blockchain and mobile with an intuitive user interface to make crypto easy to use. Valora makes crypto useful and accessible even on the most basic smartphones, enabling 6 billion smartphone users worldwide to reliably save, send, and spend crypto as easily as sending a text message.","Valora is a mobile wallet that allows you to send, save, and spend crypto as easily as sending a text","Andreessen Horowitz, Polychain",Series A,"$20,000,000",11-50,"San Francisco, California, United States",Feb 2021
Lit Protocol,"Blockchain, Content, Software",Lit Protocol is a decentralized access control infrastructure designed to bring more utility to the web.,Lit Protocol is decentralized access control infrastructure designed to bring more utility to the web.,"LongHash Ventures, Figment",Series A,"$13,000,000",11-50,"San Francisco, California, United States",2021
Prophetic,"Artificial Intelligence (AI), Medical Device",Prophetic AI is a non-invasive neurotech company that offers neural devices to help people stabilize and induce lucid dreaming.,Prophetic is a non-invasive neurotech company that offers neural devices to help people stabilize and induce lucid dreaming.,"Andreessen Horowitz, BoxGroup",Seed,"$1,100,000",1-10,"New York, New York, United States",2023
Aquarium,"Analytics, Artificial Intelligence (AI)","Aquarium Learning is an ML data management platform that helps to improve models by improving datasets. The company was founded in 202 and based in San Francisco, California.",Aquarium is expertise in making machine learning accessible to its customers that helps to simplify their models by improving datasets.,"Sequoia Capital, Y Combinator",Seed,"$2,600,000",11-50,"San Francisco, California, United States",2020
Setter,"Blockchain, Cryptocurrency, Ethereum",Setter is a smart contract wallet that invites mainstream users into the fold and bridges the gap between web2-to-web3 commerce with ease.,Setter is a smart contract wallet that invites mainstream users into the fold and bridges the gap between web2-to-web3 commerce with ease.,"Andreessen Horowitz, Dreamers VC",Seed,"$5,000,000",1-10,"Chicago, Illinois, United States",Sep 2021
Linera,"Software, Web3","Linera is the power of decentralization for everyone, everywhere.",Linera is a multi-chain infrastructure designed for highly scalable web3 applications.,"Andreessen Horowitz, Borderless Capital",Seed,"$6,000,000",1-10,"Menlo Park, California, United States",2021
Atlantic Money,"Apps, Finance, Financial Services","Atlantic Money is a money transfer provider that offers international transactions for a flat fixed fee of £3 or €3 at the current exchange rate. All the way up to £1m or €1m. Atlantic Money is a international player in payment services that offers the world's cheapest solution for money transfers in foreign currencies. Atlantic Money was established in 2020 in London, England.",Send money abroad – always at the live exchange rate for just a flat £/€3 fee. All the way up to £/€1 million.,"Index Ventures, Susa Ventures",Seed,"$3,000,000",11-50,"London, England, United Kingdom",2020
Yellow,"3D Technology, Generative AI",Yellow is an AI firm that transforms cutting-edge 3D generation technology into powerful creativity tools and products.,Yellow is an AI firm that transforms cutting-edge 3D generation technology into powerful creativity tools and products.,Andreessen Horowitz,Seed,"$5,000,000",11-50,"Palo Alto, California, United States",2023
OnChain Studios,"Blockchain, Gaming, Software",OnChain Studios is a software company that intends to bring ownership to interactive experiences.,OnChain Studios is a software company.,"Animoca Brands, Andreessen Horowitz",Series A,"$23,000,000",11-50,"Miami, Florida, United States",2021
Jitty,"Apps, Real Estate",Jitty is a real estate search engine to help people in find and move into their ideal property.,Jitty is a real estate search engine to help people in find and move into their ideal property.,"Sequoia Capital, Gradient, True.",Pre-Seed,"$2,000,000",1-10,"London, England, United Kingdom","Apr 1, 2023"
Leap Wallet,"Blockchain, Financial Services","Leap Wallet is a non-custodial Terra wallet offering access to dApps, staking, Defi, NFTs, and more on one platform.","Leap Wallet is a non-custodial Terra wallet offering access to dApps, staking, Defi, NFTs, and more on one platform.","Accel, Terra, Pantera Capital, CoinFund",Seed,—,1-10,"Vancouver, British Columbia, Canada",2021
KINO,"Film, Film Production, Finance",KINO is a web3 film finance company that democratizes film and protects artists' rights.,KINO is a web3 film finance company that democratizes film and protects artists' rights.,"Sequoia Capital, Hyperithm, Blockchain Founders Fund",Pre-Seed,"$4,350,000",11-50,"Los Angeles, California, United States",2022
Quilt,"Artificial Intelligence (AI), Software",Quilt uses AI and software to solve the challenges for solutions.,Quilt uses AI and software to solve the challenges for solutions.,Sequoia Capital,Seed,"$2,500,000",1-10,"San Francisco, California, United States",2023
Haz,"Artificial Intelligence (AI), E-Commerce",Haz is an AI social commerce software that links friends based on the things they own.,Haz is an AI social commerce software that links friends based on the things they own.,"Andreessen Horowitz, Concept Ventures",Pre-Seed,"$1,400,000",1-10,"London, England, United Kingdom",2023
Co:Create,"Bitcoin, Cryptocurrency, Web3",Powering dynamic growth for NFT projects and Web3 brands.,Co:Create powers dynamic growth for NFT projects and Web3 brands.,"Andreessen Horowitz, Autograph",Seed,"$25,000,000",1-10,"Menlo Park, California, United States",2022
Twain,"Artificial Intelligence (AI), Sales",Writing co-pilot for sales.,AI communication assistant for outreach.,"Sequoia Capital, Tiny VC, TQ Ventures",Pre-Seed,"$4,000,000",11-50,"Berlin, Berlin, Germany","Oct 7, 2021"
Arcane,"Artificial Intelligence (AI), Information Technology",Arcane Intelligence is an AI Copilot that accelerates marketers.,Arcane is an AI Copilot that accelerates marketers.,"Accel, Illusian Founder Office",Seed,"£3,920,000",11-50,"London, England, United Kingdom",2021
Cube,"Generative AI, Software","Cube is a generative AI startup helping multi-location businesses streamline online reputation management and customer care. We're leveraging ChatGPT to revolutionise customer care. Cube helps teams save time on repetitive tasks, boost productivity and personalise customer interactions at scale.",Cube is a generative AI startup helping multi-location businesses streamline online reputation management and customer care.,"Sequoia Capital, Graph Ventures",Pre-Seed,"$1,700,000",11-50,"Palo Alto, California, United States","Nov 1, 2022"
RootNote,"Data Visualization, Media and Entertainment","RootNote is a collaborative business intelligence platform that helps content creators and creative teams use data to better engage, grow, and monetize their audiences by consolidating and activating key metrics from their favorite apps, tools, and platforms - all in one place.",RootNote is a SaaS platform that helps content creators grow their digital brands.,"Techstars, Sequoia Capital, Elevate Ventures",Pre-Seed,"$1,500,000",1-10,"Nashville, Tennessee, United States","May 19, 2020"
DELV,"Blockchain, Decentralized Finance (DeFi)","Our Mission is to advance the safe adoption of decentralized financial systems by building novel, research-backed, and open source infrastructure.",New Protocols for New Markets,"Andreessen Horowitz, Polychain",Series A,"$32,000,000",11-50,"North Richland Hills, Texas, United States","Nov 24, 2020"
Wondermind,"Health Care, Medical, Mental Health","Wondermind operates as a mental fitness ecosystem with a mission to democratize and destigmatize mental health globally via daily content, CPG products, and storytelling. Wondermind is an innovative mental fitness company founded by Selena Gomez, Mandy Teefey, and Daniella Pierson. The company provides easy, doable ways to put its clients' mental fitness first every day.","Wondermind helps people care for their mental health via daily content, CPG products, and storytelling.","Sequoia Capital, Lightspeed Venture Partners",Seed,"$5,000,000",11-50,"New York, New York, United States",2021
NAKAD,"Financial Services, FinTech","NAKAD operates as a fintech startup. NAKAD, with its proprietary MicroBill technology infrastructure, offers invoice discounting services to MSMEs, which were previously unavailable to them from formal channels.",NAKAD operates as a fintech startup.,"Accel, Z47, Mars Shot Ventures",Seed,"$7,000,000",1-10,"Delhi, Delhi, India",2022
PartyKit,"Artificial Intelligence (AI), Software",PartyKit is an open source deployment platform for AI agents.,PartyKit is an open source deployment platform for AI agents.,"Sequoia Capital, Tiny VC, Remote First Capital",Pre-Seed,"$2,500,000",1-10,"London, England, United Kingdom",2023
Complete,"Data Integration, Developer Platform","Complete helps teams get compensation right from the very beginning. Through their communication tools -- like interactive offer letters and total reward statements -- in addition to real-time dashboards, companies are able to make smart decisions, efficiently.","Create, collaborate on, and explain compensation practices from day zero.","Stripe, Y Combinator, Accel, Calm",Seed,"$4,000,000",1-10,"San Francisco, California, United States",Dec 2021
Frame,"Artificial Intelligence (AI), B2B","Frame is an AI-powered suite of minimalist collaboration apps built to empower cross-teams and cross-department work in a beautiful minimalist digital environment. Our suite contains any apps sitting across departments, like notes, tasks, whiteboard, and processes, and is simple, unified, interoperable, and team-ready. Follow us here: https://bento.me/joinframe",The Intelligent Workspace for Teams,"Kleiner Perkins, Episode 1, SaxeCap",Pre-Seed,"$1,542,000",11-50,"San Francisco, California, United States","Jan 27, 2022"
Binocs,"Finance, Financial Services, FinTech","Binocs improves operational efficiency and risk management for private credit funds, allowing them to scale up faster. Binocs automates document management by integrating of all channels to a single platform. Our platform uses AI and ML solutions to extract and standardize financial data for further analysing Financial Statements. Additionally, Binocs offers streamlined covenant & ESG monitoring; and advanced data analytics & risk management modules. Binocs provides bespoke financial models customized to meet the specific needs and requirements of Portfolio Managers.",Binocs is a GenAI-Driven Portfolio Tracking & Workflow Management System for Private Credit Funds.,"Blume Ventures, Accel, PremjiInvest",Seed,"$4,000,000",11-50,"Bangalore, Karnataka, India",2022
STEPN,"Apps, Blockchain, Fitness, Gaming",STEPN ioffers a blockchain-based fitness app. It works by letting users buy NFTs that last for a certain amount of time.,STEPN is an Australia-based startup that offers a blockchain-based fitness app.,"M13, Sequoia Capital, Lemniscap",Seed,"$5,000,000",11-50,"Adelaide, South Australia, Australia",2021
LootRush,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi)",LootRush is a Web3 Videogame Platform.,LootRush is a Web3 Videogame Platform.,"Andreessen Horowitz, Y Combinator",Seed,"$12,000,000",11-50,"San Francisco, California, United States",2021
Solvo.ai,"Air Transportation, Freight Service","A human-influenced automated decision-making platform that improve resilience, agility and accelerate recovery in global supply chains We are on a mission to build a ”central cross-functional brain” that combines human expertise with practical AI to make supply chains of the future resilient, agile and self learning by design. Our story is all about real people, real problems, real solutions, real value.","A human-influenced automated decision-making platform that improve resilience, agility and accelerate recovery in global supply chains","Sequoia Capital, Alumni Ventures",Seed,"£3,500,000",1-10,"London, England, United Kingdom",2021
NaroIQ,"Asset Management, Financial Services",Naro provides services for capital allocation and data provision in the financial sector.,"We build fund infrastructure that enables companies to build their own ETFs, MMFs and funds, without any operational and regulatory burden.","Sequoia Capital, Angel Invest",Pre-Seed,"€2,700,000",11-50,"Cologne, Nordrhein-Westfalen",2022
Kinetic,"Blockchain, Cryptocurrency, FinTech",Frontier technology lab,The Future of Exchange,"Sequoia Capital, Castle Island Ventures",Seed,"$7,200,000",1-10,"Santa Monica, California, United States","Apr 19, 2022"
Mirage,"3D Technology, Artificial Intelligence (AI)",Custom LLMs to accelerate your productivity!,Mirage builds custom LLMs,"Sequoia Capital, Edward Lando",Seed,"$1,200,000",1-10,"San Francisco, California, United States",2022
RabbitX,"Blockchain, Cryptocurrency, Ethereum","RabbitX makes investing easy. Providing access to global stocks, fx, commodities, and digital assets with zero commissions. Backed by Sequoia, Fabric Ventures, Multicoin Capital and more. Built on Zero-Knowledge decentralised scaling technology. Bringing finance into the global internet age.","RabbitX makes investing easy. Providing global access to stocks, fx, commodities, and digital assets with zero commissions.","Sequoia Capital, OKX Ventures",Series A,"$8,500,000",11-50,"Singapore, Central Region, Singapore",2021
Biodock,"Analytics, Artificial Intelligence (AI)","Biodock's cloud platform accelerates microscopy analysis, automating months of microscopy analysis and infrastructure to minutes with our end-to-end AI architecture. Scientists enjoy auto-scaling storage, GPU compute, and 30-50% more accurate analysis. We also have a data flywheel built into our product - we process millions of cells weekly for our free academic and enterprise customers, and we're building the largest image dataset for microscopy images, which gives us a competitive data advantage.",Biodock offers a cloud AI platform that extracts answers from image data.,"Andreessen Horowitz, Y Combinator",Pre-Seed,"$2,100,000",1-10,"Austin, Texas, United States",2020
Heptabase,"Data Visualization, Productivity Tools","Heptabase is the visual note-taking tool for learning complex topics. Heptabase is headquartered in Taipei, Taiwan and was founded in 2021.",The visual note-taking tool for learning complex topics.,"Y Combinator, Kleiner Perkins",Seed,"$1,674,760",1-10,"Taipei, T'ai-pei, Taiwan",Sep 2021
Zibra AI,"3D Technology, Artificial Intelligence (AI)",We’re building AI-assisted solutions for 3D content creation for all virtual worlds and experiences. Our goal is to speed up and simplify the creation process with the power of Generative AI.,AI-generated 3D assets and visual effects for virtual worlds and experiences,"Andreessen Horowitz, Ukrainian Startup Fund",Seed,"$500,000",11-50,"Kyiv, Kyyiv, Ukraine","Mar 1, 2021"
Space Runners,"3D Technology, Blockchain, Consulting","Space Runners is the first Metaverse Fashion brand focused on cross-chain/interoperable fashion items that can be plugged into any Web3.0 Metaverse and games. Our belief is that there are many players working on Metaverses and games, but not enough players working on what users will wear as items in the Metaverse. We collaborate with artists/brands to provide an end-to-end service on design, 3D modeling, marketing, engineering to co-launch a fashion NFT collection that can be plugged into different metaverses. Below are some key points about the project: * Largest NFT community on Solana with 500k+ members across Twitter, Discord, and Instagram * 1st collection sold out in 9 minutes on Dec 23rd: the 10,000 ""NBA Champions Collection"" with Kyle Kuzma & Nick Young * Consistent Top 1-5 trading volume on Solana since launch * NFTs integrate with games, metaverses and virtual events, wherein each shoe has differentiated power and speed. Our overall vision is to become the first end-to-end digital fashion ecosystem on blockchain as the largest supplier of fashion items.",Space Runners is the Metaverse Fashion brand focused on cross-chain fashion items that can be plugged into any metaverses and games.,"Polychain, Accel, Goodwater Capital",Seed,"$10,000,000",11-50,"Houston, Texas, United States","Aug 4, 2021"
BreederDAO,"Blockchain, Gaming, Manufacturing","BreederDAO is the NFT asset factory of blockchain games. We provide high-volume asset production, tailored to specification, for some of the largest guilds in the Metaverse so they can supercharge their Play-To-Earn economies.",BreederDAO is a Philippines-based specialist manufacturer of digital assets for use in blockchain-based games and virtual worlds.,"Andreessen Horowitz, Hashed",Series A,"$10,000,000",11-50,"Philippine, Benguet, Philippines",2021
Endo Health,"Diabetes, Health Care, Health Diagnostics","Endo Health creates a gamified ""AI endocrinologist"" for type 2 diabetes management. They are creating a pleasant AI medical assistant that will walk patients through every stage of diabetic control, complete with gamified involvement.","Endo Health creates a gamified ""AI endocrinologist"" for type 2 diabetes management.","Andreessen Horowitz, Anne Wojcicki",Pre-Seed,"$1,000,000",1-10,"San Francisco, California, United States",2024
Winden,FinTech,"Winden is a financial technology company that offers banking products for entrepreneurs and businesses. The company provides deposit banking, spend management, and other financial products for digital freelancers, agencies, and more. Its products are primarily aimed at single-person e-commerce businesses, but it also caters to digital freelancers and agencies. Winden offers digital entrepreneurs features such as free ACH, wire and check payments and the ability to manage transactions, payments and expenses in one place.",Winden is a financial technology company that offers banking products for entrepreneurs and businesses.,"Accel, Ramp, Karim Atiyeh, Lachy Groom",Seed,"$5,300,000",11-50,"Los Angeles, California, United States",2021
Index Coop,Cryptocurrency,"The Index Coop is a decentralized autonomous organization (DAO) and the largest provider of on-chain structured decentralized finance (DeFi) products. We’re on a mission to make DeFi simple, secure and accessible to everyone. Index Coop builds sector index products, leverage and inverse products, and yield-generating products, all built on Set Protocol’s twice-audited V2 infrastructure.",Index Coop creates and maintains the world's best crypto index products.,"Galaxy Digital, Sequoia Capital",Seed,"$2,250,000",1-10,"Grand Cayman, Midland, Cayman Islands","Oct 6, 2020"
Entropy,"Blockchain, Cryptocurrency, Finance",Entropy provides crypto custody services to keep private keys secure and make assets available on demand. Its services specialize in creating a decentralized network leveraging advanced threshold cryptography and multi-party computation. The company was founded in 2021 and is headquartered in New York.,Entropy provides crypto custody services to keep private keys secure and make assets available on demand.,"Andreessen Horowitz, a16z crypto",Seed,"$25,000,000",1-10,"New York, New York, United States",Jul 2021
Tweed,"Apps, Blockchain, Cyber Security","Tweed’s end-to-end payment infrastructure enables companies to compliantly onboard and monetize users with zero friction. With Tweed, platforms can sell NFTs or Platform Tokens and deliver a native e-comm experience: buyers pay with card, sellers receive either fiat or crypto without worrying about gas fees. Companies can seamlessly create self-custodial, recoverable, white label wallets for users, eliminating any regulatory custody burden.",Tweed’s end-to-end payment infrastructure enables companies to compliantly onboard and monetize users with zero friction.,"Intel, Accel, a16z crypto, Zero Knowledge",Seed,—,11-50,"Tel Aviv, Tel Aviv, Israel",2022
FitBudd,"Fitness, Health Care, Wellness","FitBudd, a SaaS platform that aids international health and fitness coaches in expanding their businesses, is backed by renowned investors. Fitbudd offers its market two fundamental solutions. It aids instructors in keeping clients longer and engaging them more effectively. Additionally, it makes them far more reachable to customers around the world, helping businesses to expand globally. FitBudd was established in Gurgaon, Haryana.","FitBudd is an online platform that provides personal trainers, wellness coaches, and nutritionists for fitness coaching.","Accel, Peak XV Partners, BEENEXT",Seed,"$3,400,000",11-50,"Gurgaon, Haryana, India",2021
Hubble,"Business Intelligence, Cyber Security","Hubble is a sector-defining SaaS platform that enables digital transformation and operational rigor. Through helping their customers become more secure, robust, and compliant, we can permanently solve the problem of technology asset visibility, laying the foundation for their digital transformation.","Hubble is an award winning, fully agentless, technology asset visibility and cybersecurity posture management solution.","Accel, Paladin Capital Group, CrowdStrike Falcon Fund",Seed,"$9,000,000",11-50,"Reston, Virginia, United States",Jul 2020
SPF META,"Blockchain, Gaming",SPF META develops blockchain games using blockchain technologies.,SPF META develops blockchain games using blockchain technologies.,"Andreessen Horowitz, OKX Ventures",Series A,"$50,000,000",11-50,"Kowloon City, Kowloon, Hong Kong",2021
Party Round,"Finance, FinTech, Software","Party Round is building better tools for founders, starting with an automated fundraising tool. Generate and send docs, collect signatures, and receive funds, automating your raise from open to close.","Party Round is building better tools for founders, starting with an automated fundraising tool.","Andreessen Horowitz, Gradient",Seed,"$7,000,000",1-10,"New York, New York, United States",2021
Loop Crypto,"Cryptocurrency, Information Technology",Loop Crypto is a platform that enables autopay with crypto.,Loop Crypto is a platform that enables autopay with crypto.,"Andreessen Horowitz, CoinList",Seed,"$4,000,000",1-10,"San Francisco, California, United States",2021
hOS,"Artificial Intelligence (AI), Information Technology",HOS is an AI technology company that develops scalable technologies to achieve significant and constructive changes in the world.,HOS is an AI technology company that develops scalable technologies to achieve significant and constructive changes in the world.,"Sequoia Capital, New Enterprise Associates",Seed,"$12,800,000",11-50,"Salem, Massachusetts, United States",2021
Gamma,"Artificial Intelligence (AI), Information Technology","Gamma is a provider of an AI-powered presentation platform for enterprise collaboration. Its presentation platform allows users to share links async, export PDFs, and save images. It also allows users to create unlimited presentations and websites to create content using templates and no-code updates.",Gamma offers an AI-powered presentation platform designed to enhance enterprise collaboration.,"Accel, Afore Capital, Darwin Venture Management",Series A,"$12,000,000",11-50,"San Francisco, California, United States",2020
Runway Financial,"Finance, Financial Services, FinTech","Runway provides a strategic planning platform to reinvent how business financials are presented through modern design and engineering. The company's platform helps teams have a clear view of their business by offering an environment for creating financial models, evaluating performance, and aligning teams. It also integrates data from HR, accounting, and data warehouses to provide a single solution for understanding how a business really works, allowing teams to collaborate on strategic plans together.","Runway is a SaaS company that offers a planning platform that allows businesses to create, manage, and share financial models and plans.","Andreessen Horowitz, 500 Global",Series A,"$27,500,000",11-50,"San Francisco, California, United States",2020
Mermaid Char,"Data Visualization, Information Technology","Mermaid Chart, founded by Knut Sveidqvist and Open Core Ventures, emerged from the Mermaid open-source project. Lead developers from Mermaid have joined, strengthening the project's connection. Mermaid Chart bolsters open-source Mermaid development, enabling professional usage, while maintaining open-source functionality. It supports Mermaid significantly, but also offers commercial services to fund project growth and expand the developer team.","Create complex, visual diagrams with text. A smarter way of creating diagrams.","Sequoia Capital, Anorak Ventures",Seed,"$7,575,000",11-50,"San Francisco, California, United States",2022
Angle Protocol,"Cryptocurrency, Financial Services",Angle Protocol focus on offering stablecoins pegged to currencies like the euro as an alternative to dollar-centric tokens.,Angle Protocol focus on offering stablecoins pegged to currencies.,"Andreessen Horowitz, Global Founders Capital",Seed,"$5,000,000",1-10,"Menlo Park, California, United States",2021
Calixa,"Analytics, B2B, SaaS, Software","Calixa is a GTM platform that gives teams the product insights they need to find, close, and grow customers amidst a sea of self-serve signups. Calixa pulls together a company's data from 3rd party apps (Salesforce, Zendesk, Stripe, etc), data warehouses (Snowflake and BigQuery), and product event data (Segment, Amplitude) and turns it into an intuitive and actionable app layer for customer facing teams.",Calixa is the Product-Led Sales platform that turns product data into closed won.,"K5 Global, Twilio, Kleiner Perkins",Series A,"$12,000,000",11-50,"San Francisco, California, United States",Jan 2020
Tavus,"Artificial Intelligence (AI), Developer Platform",Tavus is an AI research company focused on making digital experiences as immersive as face to face. They do this with their best-in-class AI avatar models that can be used by developers and companies to create async and real-time video experiences with a human digital twin.,"Tavus provides foundational video models for digital twins, as an API.","Sequoia Capital, Soma Capital",Series A,"$18,000,000",11-50,"San Francisco, California, United States",2020
