Name,Logo URL,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Total Funding Equity,Number of Employees,Headquarters Location,Competitors,Founded Date
Verdata,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/cffmwvutyj8y5kbsuo5f","Finance, Financial Services, FinTech, Fraud Detection","Verdata develops a data and insight platform intended to empower POS financing companies to mitigate merchant risk. The company's platform offers underwriting, notifications, and portfolio health check, enabling POS financing companies to avoid fraudulent and poorly behaving merchants. It was headquartered in Richmond, Virginia in 2020.",The merchant data and insight network that helps companies identify and mediate risk.,"Al Goldstein, Timothy Li, Bobby Mehta, Shawn Budde, Michael Heller",Seed,"$3,000,000","$3,800,000",11-50,"Atlanta, Georgia, United States",7,2020
Sinecure.ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/lfxog1vnrytoa8geserg","Artificial Intelligence (AI), Human Resources, Machine Learning, Recruiting, SaaS, Software","Sinecure.ai is intelligent talent acquisition. Sinecure is a data-driven and AI-enhanced talent acquisition solution. Their explorator platform is designed to find highly qualified candidates while reducing your time to hire, sourcing, research, and overall costs. They are designed for your business, not everybody's. Exploratory analyses of billions of industry-specific data points as well as relevant candidate-specific data (skills, content, social media, experience, and more) to provide a comprehensive, multi-dimensional view of your candidates. This is done through a customizable data collection engine that utilizes first- and third-party data. Resulting in a vertical-business graph from which qualified candidates emerge. Not more candidates. Better qualified.",Sinecure.ai is an enterprise SaaS platform reinventing talent acquisition and retention through the use of artificial intelligence.,"Golden Section, Wenda Harris Millard, Steve Farella",Seed,"$2,500,000","$5,500,000",11-50,"New York, New York, United States",8,"May 15, 2021"
Aivy,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/pg0t17n02uqpazlmujs7","Artificial Intelligence (AI), Human Resources, Machine Learning, Mobile Apps, Psychology, SaaS",Aivy® is an award-winning digital solution for analyzing the individual talents of job applicants. Companies receive unbiased data and AI-based prediction of job success to avoid 30 % of their bad hires even before the first interview. At the same time they promote equal opportunities and diversity in the selection process.,Scientific Diagnostic-SaaS that helps HR to achieve a 5x better pre-selection and avoid 30 % of their bad hires before the first interview.,"Carsten Maschmeyer, Business Angels Club Berlin-Brandenburg e.V., Dagmar Wöhrl, Matthias Helfrich",Seed,"€1,000,000","€1,950,000",11-50,"Berlin, Berlin, Germany",2,"Jan 28, 2020"
Likvido,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/kfibt4qvf43xvggolccx","Accounting, Debt Collections, Financial Services, FinTech","From creating jobs to uplifting communities, pushing innovation, and growing strong local economies –– the world needs independent businesses who spend less time messing around with spreadsheets and more time doing what they believe in. So, at Likvido, we’re giving small and medium-sized companies the freedom they need to pursue their dreams and stay focused on what matters. Likvido makes your financial admin easy and accessible with a streamlined solution that automates everything on the go. Integrating seamlessly with your bank and preferred accounting software, get a clear overview of your company finances, stay on top of your cash flow, and enjoy more opportunities to build your business. Some of our core features include: Fully automate your accounting with no manual data entry. Pay on the go with just one click. Get paid 2x faster with digital invoices, automatic reminders, and flexible payment methods. Real-time cash flow management helps you make smarter decisions about how your money moves in and out.",Freeing SMEs to focus on what matters by automating Accounts Receivables and debt collection. Aquired by Visma Holding Denmark January 2023.,"Vaekstfonden, PSV, BlackFin Capital Partners",Seed,"€2,500,000","$3,801,003",11-50,"Copenhagen, Hovedstaden, Denmark",7,"Apr 1, 2018"
Truescope,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/vpocf11enlmjuvpgkigr","Analytics, Artificial Intelligence (AI), Information and Communications Technology (ICT), Information Services, Public Relations, SaaS, Social Media","Truescope's innovative AI based technology is the next generation of media intelligence and CommsTech for communications professionals. It unique technology provides real-time, customized and comprehensive media intelligence and recommendations to better inform communications and business strategies. Utilizing cloud-based technology and artificial intelligence informed by deep market experience, Truescope delivers accurate information that provides clarity for communications strategies, reputational tracking and business decision making. Truescope's technology accesses comprehensive data from online sources, forums, social and mainstream media in near real-time. It then indexes these millions of stories into industry feeds and customer queries to identify relevant information for corporate and government clients.",Truescope is a Media Intelligence SaaS app that monitors and analyses data from social and mainstream media to inform PR & marketing,"Investible, Jelix Ventures",Seed,"A$6,200,000","A$6,200,000",51-100,"Sydney, New South Wales, Australia",17,Mar 2019
Stylo,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/irndrzsmatogefzu2l2z","Artificial Intelligence (AI), Enterprise Software, Software","Stylo categorizes customer messages based on urgency or the type of assistance required. Its software interprets customer messages using AI and advanced algorithms. The platform reads messages and categorizes them using sentiment scores based on urgency, frustration, and other factors. Message classification is typically done by humans, but Stylo's software can accurately rank customer messages and detect the level of response required on its own. Austin Emser and Josh Horowitz co-founded the company in 2019.",Stylo is a plug-and-play AI solution for customer support teams that prioritizes and routes tickets based on what's most important.,"Matchstick Ventures, Caffeinated Capital, VITALIZE Venture Capital, Converge",Seed,"$3,000,000","$3,000,000",11-50,"Boulder, Colorado, United States",8,Jan 2021
Velostics,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ongqa1q05sfhe7qjdz2q","Logistics, SaaS, Software, Supply Chain Management","Velostics is a logistics Software-as-a-Service (SaaS) company specializing in automating manual and paper-based truck scheduling, check-in and order entry processes for terminals, warehouses and plants. The Velostics® AI platform automates communication between carriers and facilities systems and logistics teams to schedule, check-in, and load vehicles faster and error-free. The location-specific Velostics Pass™ technology and QR code enables required shipment data to be exchanged contactlessly and eliminates delays and paperwork from check-in, shipping and receiving process. Velostics solutions have a proven track record of minimizing delays and demurrage, reducing errors, and increasing operational efficiency and throughput so that companies may achieve strong ROI in just a few months. To learn more, please visit www.velostics.com.","Velostics automates inbound logistics for industrial facilities such as warehouses, plants and terminals","Alumni Ventures, Cultivation Capital, Flyover Capital, Small Ventures USA, Starboard Star Venture Capital",Seed,"$1,950,000","$4,450,000",11-50,"Houston, Texas, United States",5,2019
delphai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/mnctgvif4nbpgiwru0j8","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Information Technology, Machine Learning, Market Research, Software","Our market intelligence software allows users to make sense of their company’s strengths and expand their business through intuitive big data analytics. Explore innovation ecosystems, discover emerging technologies, or profile individual companies to scout for new partners. Whether it’s competitive intelligence, investment planning, R&D roadmapping, or business expansion, delphai allows you to generate the insights you need to make the next move.",delphai is your premier analytics platform for actionable insights on the innovations and companies driving change across industries.,"Newion, Airbridge Equity Partners, CIMEDO, Hyle Capital Partners, Federal Government of Germany",Series A,"€3,800,000","€3,800,000",11-50,"Berlin, Berlin, Germany",41,"Jan 1, 2020"
Renew Risk,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/b0rr4s4ixc4z4kiiqx2a","FinTech, InsurTech, Renewable Energy",Renew Risk is a software development firm that offers B2B SaaS solutions based on deep science for optimizing the financial lifetime of major renewable energy assets.,Renew Risk is a developing software for the management of renewable energy assets,"University of Surrey, Insurtech Gateway, Chris Adelsbach, One Planet Capital, Rahul Munjal",Seed,"£1,700,000","£1,700,000",11-50,"London, England, United Kingdom",—,2023
Turbotic AB,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wo7ayanfc8r5attnnwq0","Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS","Turbotic is a frontrunner in transforming companies with a technology first mindset. Working with technologies in robotic process automation, cognitive agents, lowcode and big data solutions we help accelerate cost out, and operational efficiency programs. Thru our proprietary platform and operating system, we have created a turnkey solution with best-of-breed technologies to accelerate your company into the future. Turbotic enables companies and organizations to capture the full value of automation and Artificial intelligence to increase operational efficiency and reduce cost.",Enterprise Automation and AI Optimization platform,Investment AB Öresund,Seed,"$3,000,000","$9,000,000",11-50,"Stockholm, Stockholms Lan, Sweden",7,"Aug 20, 2020"
AMPERE,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/dzfhwps41uqzgrtbwirf","Banking, Financial Services, FinTech","Ampere is an all-in-one neobank that allows business owners to manage all the essential business financial operations in one place. With Ampere, businesses can streamline their financial processes by accessing a wide range of services in a single platform. It simplifies the onboarding process, offering regular financial services such as account management, card management, low-fee foreign exchange operations, business loans and exceptional customer support. Ampere aims to save businesses valuable time by eliminating the need for lengthy administrative tasks and offers a convenient alternative to traditional banking services. Whether a small business owner or a large corporation, Ampere is designed to make managing your finances easy and hassle-free. By revolutionising the conventional financial market, Ampere empowers businesses to manage their finances and focus on growth efficiently.",All in One Business Banking,,Seed,"€2,000,000","€3,950,000",11-50,"London, England, United Kingdom",6,"Oct 1, 2022"
Transparent Financial Systems,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/rcedopgekdwqk7jrpcyg","Banking, Blockchain, Financial Services, FinTech, Payments","A vision of more efficient, transparent, and accurate payments for all is shared by many. However, it’s our approach that sets us apart. Where others seek to bypass the current financial system, we bring together the best of what already exists and restructure it to make it more efficient. All while staying within current regulatory frameworks. While others have taken a more radical approach, we embrace visionary pragmatism and partner with businesses and banks to move payments forward. Based in Seattle, we’ve brought together top cryptographers and financial-system specialists with world-class software and hardware engineers to partner with banks and businesses to create innovative settlement solutions. Come work with us. We're hiring!",Transparent Financial Systems automates payment processing workflow in accordance with the latest regulatory and privacy standards.,"Digital Currency Group, Pantera Capital, CMT Digital, Block, Inc., IDEO CoLab Ventures",Series A,"$14,000,000","$22,000,000",11-50,"Seattle, Washington, United States",8,2018
BHuman,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/cvlbyjdrynzpshvpvnr3","Artificial Intelligence (AI), Video","BHuman enables anyone to make personalized videos at scale that look and feel completely real. From eCommerce and healthcare to politics, financial services, marketing and more, we're changing the way companies communicate en masse. Our signature quality is 100% believability, which is the core of our value add. We enable human connections at scale, and customer experience will never be the same.",Personalized videos at scale that look 100% real using patent-pending AI.,Mistral Venture Partners,Seed,"$885,000","$885,000",11-50,"New York, New York, United States",2,"Aug 17, 2020"
Senpex,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/b2gngrglwwdrjexh4f3y","Artificial Intelligence (AI), Catering, Courier Service, Crowdsourcing, Delivery, Delivery Service, Food Delivery, Logistics, Shipping, Supply Chain Management","Senpex Delivery - AI-powered Last-mile On-Demand Delivery & Logistics platform (Market Place) for businesses and individual consumers in California, Texas, Georgia, NY, Nevada and Washington State. We are simplifying the last-mile delivery (logistics) process for businesses via Mobile apps, Web portal, AI-based Voice Ordering and Senpex API.","Delivery Platform simplifying the Last Mile Delivery process for businesses via Mobile app, Web portal, AI-based Voice Ordering & Senpex API",,Seed,"$1,000,000","$1,470,000",11-50,"San Jose, California, United States",5,"Mar 1, 2018"
Devengo,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/sdxlszkvk0v3ichndnxo","Financial Services, FinTech, Payments","Devengo is a B2B API that helps its clients orchestrate fast and programmable account-to-account payments using next-generation payment protocols. Devengo provides real-time detailed information to manage errors and incidents immediately, as well as retry and re-route failed payments with minimal effort.",Devengo is a B2B API that helps its clients orchestrate fast and programmable account to account payments using next-gen payment protocols.,"TheVentureCity, Fides Capital",Seed,"€1,200,000","€2,914,078",11-50,"Madrid, Madrid, Spain",9,"Jul 1, 2019"
Robust Intelligence,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/eaa7c631c7714dd1b2270ff06822c20a","Artificial Intelligence (AI), Enterprise Software, Machine Learning, Software, Software Engineering","Robust Intelligence identifies vulnerabilities in AI models and prevents undesirable outcomes. The RIME platform helps secure AI systems, reducing the time data science teams spend addressing issues and increasing confidence in production models.",Robust Intelligence is a software firm that uses an automated approach to protect companies from AI security and safety vulnerabilities.,"Sequoia Capital, Tiger Global Management, Ram Shriram, Harpoon, Engineering Capital",Series B,"$30,000,000","$44,000,000",51-100,"San Francisco, California, United States",9,2019
Alpha AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/jboqanxa8f39qikdys3n","Accounting, Artificial Intelligence (AI), Finance, FinTech, Machine Learning, Software","Alpha AI Inc. is a Platform-as-a-Service (PaaS) provider, leveraging cutting-edge AI technology to enable rapid application development with low/no-code solutions. We specialize in comprehensive FP&A offerings that enhance workflow efficiency and deliver unmatched enterprise visibility by harnessing the power of AI, automation, and advanced analytics. Our innovative, self-driving software seamlessly integrates with existing ERP systems, streamlining financial processes and eliminating manual data entry to boost productivity. Catering to a diverse range of industries and business sizes, we are committed to helping our clients optimize their financial planning and analysis operations for unparalleled performance and growth. Some of the features of our platform include: - AI-Enhanced Financial Management - Smart Cost Optimization Solutions - Self-Adaptive Accounting Systems - AI-Driven Process Automation - Insightful Data Analytics & Visualization - Cognitive Language & Document Analysis",Alpha is a Platform-as-a-service company that offers AI-powered intelligent and integrated solutions for digital enterprise and ERPs.,,Seed,"$1,000,000","$2,000,000",11-50,"New York, New York, United States",15,"Mar 1, 2021"
MainVest,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/tk9biy4ovhck6larqoes","Financial Services, FinTech, Small and Medium Businesses","MainVest is an investment platform giving small businesses a better option for access to capital. The platform is building a new asset class of revenue-backed securities in the small business space, allowing brick and mortar small businesses to access capital through local investment. It focused on connecting small businesses looking for growth/startup capital with local investors in their community. Through Mainvest, community members invest in local businesses through financial instruments designed to align incentives and drive successful economic growth. It was founded in 2018 and is headquartered in Salem, Massachusetts, United States.",MainVest is an investment platform giving small businesses a better option for access to capital.,"Karman Ventures (fka Moving Capital), Room40 Ventures, Lerer Hippeau, Expa, Wesley Tang-Wymer",Seed,"$3,000,000","$3,000,000",11-50,"Salem, Massachusetts, United States",8,Mar 2018
Nearby,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/i5h3bk7gaawizesyb1fz","Business Intelligence, E-Commerce, Shopping, Software","Nearby is a computer software company that helps businesses and companies to connect with nearby customers. The company helps businesses put their inventory online, and adds their store to the marketplace for their town.",Nearby is a computer software company that helps businesses and companies to connect with nearby customers.,"Google Ventures, Cowboy Ventures, Redpoint, Moxxie Ventures, Obvious Ventures",Series A,"$21,000,000","$26,100,000",11-50,"Oakland, California, United States",4,May 2020
Gamium,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/siit2dkvxcmg2eylkzmn","Blockchain, Finance, Identity Management, Metaverse, SaaS, Software","Gamium is a technology company that creates Digital Identity and Metaverse solutions for individuals, businesses, and developers. Gamium offers two digital products: Didit & Genesis. Didit is the world's identity and financial protocol. With Didit's innovative technology, individuals can navigate the Internet with their Decentralized Digital Identity and make secure and easy data transfer and payments with just one click. Businesses can improve their onboarding, identity verification, and payment processes. By creating a true Identity Layer 0, Didit establishes unparalleled interoperability in the Internet, empowering humans with greater connectivity and digital experiences. Genesis is a social platform that allows users to live and create a wide variety of experiences. With Genesis' unique value proposition, everyone can create their own digital world using its code & no-code SDK and explore infinite experiences using its advanced search engine.","Gamium is a technology company that creates Digital Identity and Metaverse solutions for individuals, businesses, and developers.","Wayra, Vent Finance, DAO Maker, ZBS CAPITAL, MV Global",Seed,—,"$4,850,000",11-50,"Barcelona, Catalonia, Spain",9,2021
BidMyListing,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/y7e21mb3mcfjvtfiijfh","Online Auctions, Price Comparison, Property Management, Real Estate","BidMyListing® is the first ever online residential real estate marketplace where everyone wins. Homeowners get paid upfront for the exclusive listing of their property and agents bid on listings they are confident they can sell. A win-win for all. Selling a home is the most important financial transaction most Americans will ever face, and BidMyListing® allows for better decision making and facilitates the best possible match between sellers and agents. BidMyListing® has designed a highly advanced technology marketplace where the homeowner finally has the power. The Problem Real estate agents wasted more than $20 billion last year in advertising and marketing in seller leads to hopefully secure a signed listing agreement with a homeowner. The Solution With BidMyListing®, real estate agents can shift their marketing and advertising budget from companies such as Zillow and purchase the listings from the homeowner through BidMyListing®’s marketplace. The Result The homeowner receives cash upfront in their pocket and more importantly, a motivated real estate agent with skin in the game. The real estate agent is now able to buy guaranteed listings that they never would have known were available in locations they specialize in. Founded in 2021 by Founder and Chairman Matt Proman and Co-Founders Josh and Matt Altman. Josh is one of the top agents in America responsible for selling more than $1.46 billion in real estate in 2021 alone. Both Josh and Matt Altman are also known for their long-time roles on Bravo’s Million-Dollar Listing Los Angeles. In conclusion, BidMyListing® eliminates the guesswork out of selecting the right real estate agent to sell your home.",BidMyListing® is the first ever online residential real estate marketplace matching homeowners & agents who pay upfront to list their home.,Deer Park Road,Seed,"$15,000,000","$20,000,000",11-50,"Newport Beach, California, United States",12,2021
DigitBridge,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/rnxxnfeg42vcgdwgdkfc","B2B, E-Commerce Platforms, Enterprise Resource Planning (ERP), Manufacturing, Operating Systems, Retail Technology, Sales Automation, Supply Chain Management, Warehousing, Wholesale","DigitBridge is the only affordable, end-to-end digital commerce operations system designed for small-to-medium sized businesses (SMBs). DigitBridge's all-in-one, cloud-based system enables retailers, suppliers, wholesalers, manufacturers, and influencers to work seamlessly with one another. Businesses can manage all aspects of their omnichannel operations and easily sell their products over a variety of commerce channels and platforms while managing the complete order journey.","An all-in-one digital commerce operations system to help retailers, suppliers, wholesalers, manufacturers, and influencers work together.",,Seed,"$2,000,000","$8,000,000",11-50,"Monrovia, California, United States",12,"Mar 1, 2020"
GlassDollar,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/4cc63c9548dc91970714","Data Mining, Internet, Search Engine","GlassDollar is a technology company that makes the corporate-startup sourcing process digital and scalable. The company also assists corporations in identifying, implementing, and scaling startup solutions that produce tangible results and have a real impact across the organization. Its startup solution marketplace and innovation project management software assists innovation teams in sourcing, managing, and successfully scaling impactful startup collaborations within their organizations. GlassDollar enables and streamlines corporate activities throughout the entire innovation journey by leveraging data and automation. Their software enables innovation units to run higher quality PoCs and create real, measurable business impact by identifying new innovation opportunities within the organization, sourcing the best solution providers, and managing all stakeholders within the projects.",GlassDollar is a technology company that makes the corporate startup sourcing process digital and scalable.,"blueworld.group, APX, 22 Capital, HTGF | High-Tech Gruenderfonds, Hauer Ventures",Seed,"€2,000,000","€4,050,000",11-50,"Berlin, Berlin, Germany",9,"Sep 1, 2019"
DigiSure,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/oaze6kbcxrr7x8sgvlgs","Auto Insurance, Finance, FinTech, Insurance, InsurTech, PaaS, Software","DigiSure is aiming to be the global leader in trust, safety and insurance for digital businesses, beginning with mobility marketplaces, so they can deliver seamless insurance experiences, lower their costs and keep their customers safe. We exist to put more power and control over a portion of the $1.6 trillion in property & casualty (P&C) insurance premiums spent annually directly into the hands of the people who know their businesses and customers best. Our vision is to use connected data and automation to transform risk management to make it more transparent and responsive, similar to how the internet and mobile changed commerce and advertising. We do this by infusing data-enabled intelligence and automation technology into everything we build, all the while delivering a customer experience that is second to none. Founded in 2018 by veterans of leading insurance, mobility and sharing economy companies, DigiSure is working to reimagine insurance for future mobility to create a safer, more secure and climate friendly world. The Company is based in San Francisco and maintains a global footprint. For more information visit, www.digisure.ai.","DigiSure is the global leader in marketplace trust, safety and insurance for mobility.","Alumni Ventures, Clocktower Technology Ventures, Valor Equity Partners, Morado Ventures, Tech Pioneers Fund",Seed,"$13,100,000","$13,100,000",11-50,"Burlingame, California, United States",29,2018
XAPP AI,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/p1l1f4rkbdmoivd4oiyf","Artificial Intelligence (AI), Consumer, Machine Learning, SaaS, Software","XAPP AI provides a conversational AI platform designed to improve customer experiences. The platform of the company provides conversations for sales, customer service, and citizen services by combining the strengths of intelligent search and AI across website search, chat, and voice channels, leveraging artificial intelligence to solve common business challenges, and serving enterprises, government agencies, and small businesses.",XAPP AI provides a conversational AI platform designed to improve customer experiences.,,Seed,"$750,000","$4,375,000",11-50,"Arlington, Virginia, United States",12,2021
Writerly,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/fnfbe8kjt1en4cxiszl2","Artificial Intelligence (AI), Generative AI, Information Technology, Marketing, Publishing, Software","Writerly AI, the best copywriting tool integrating Artificial intelligence to assist all users in creating high-quality, engaging, and plagiarism-free content for use in all industries. With 50+ use cases, Writerly stands to benefit all calibers of users, ranging from industry professionals to entrepreneurs, by assisting and accelerating growth through words. We turn your ideas into words.","Writerly helps the most innovative businesses, teams, and creators produce hyper-relevant generative AI content in seconds.",Newchip Accelerator,Seed,"$2,000,000","$2,250,000",11-50,"Nashville, Tennessee, United States",9,"Jul 28, 2022"
Foundy,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/nqdnkanx2c00qklj3zxj","B2B, Enterprise Software, Finance, Financial Services, FinTech, Marketplace, SaaS","Foundy has modernised the end to end acquisition process with it's all in one digital platform. Our founder, JP Lewin, and expert team have experience building and selling companies which has provided key insight into the unnecessary inefficiencies, complexities and costs of running a traditional M&A process. Foundy's SaaS enabled platform streamlines the transaction process through digital tools, AI and expert M&A advisors. Foundy seamlessly connects founders to relevant acquirers who can then complete efficient due diligence and legal documentation. We can also prepare users data rooms with professionally prepared information memorandums and other key documents. We support our wider community through educational videos, blogs, events and tutorials. The Foundy team welcomes you to create a free account as a seller or buyer or join our newsletter via foundy.com. Feel free to reach out if you are a prospective investor or journalist interested in working with Foundy. hello@foundy.com",Foundy is the UK's first end-to-end digital platform for buying and selling tech enabled businesses,"Fuel Ventures, Revenue Syndicate",Seed,"£1,250,000","£1,250,000",11-50,"London, England, United Kingdom",8,"Dec 21, 2021"
Exos,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/f06ee7aba1c9fc30c317","B2B, Banking, Financial Services, FinTech","Exos has built a next-gen platform for B2B institutional finance. A platform designed to deliver all the services of a traditional investment bank, reimagined and tailored to a modern digital world, all integrated into a powerful, modern technology platform driven by data and data science. While technology has transformed most industries, including aspects of retail financial services in many parts of the world, B2B institutional finance is still dominated by companies designed a century ago, all of which are weighed down by the high cost of legacy infrastructure, technology, and banking regulation. This creates a tremendous opportunity for Exos to drive change in finance no differently than companies like Amazon, Alibaba, or Uber have driven change in their own industries, all while driving better outcomes and greater transparency for clients.",Exos is a financial services platform for B2B institutional finance.,Hamilton Global Opportunities,Series B,"$3,000,000","$3,000,000",51-100,"New York, New York, United States",9,"Jan 1, 2018"
Tactic,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/sqdia61gwkd5k4htcipd","B2B, Big Data, Enterprise Software, Predictive Analytics","Are you losing 40% of your week Googling companies, people and keywords? Moving your research to Tactic gives you more actionable information for these projects than you could ever manually compile, in the format you need.","A new category of data automation. Answers, not search results.","Index Ventures, Visionaries Club, GTMfund, Cur8 Capital, Foreword Ventures",Seed,"$4,500,000","$4,500,000",11-50,"London, England, United Kingdom",5,"Mar 1, 2020"
PhishFirewall,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wugepgc46aquinbobehf","Analytics, Artificial Intelligence (AI), Cyber Security, Information Technology, SaaS, Software","PhishFirewall is a cybersecurity awareness education, threat emulation, and human security analytics platform that helps companies in solving their phishing problem. PhishFirewall drives enterprise phish clicks below 1% while decreasing security teams' workload.",PhishFirewall is an AI-driven SaaS platform that helps companies in solving their phishing problem.,Warehouse Services,Seed,"$2,500,000","$2,500,000",11-50,"Huntsville, Alabama, United States",38,2019
WorkMagic,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/xhuuhxczixbrionpyvew","Generative AI, Information Technology, Marketing, SaaS","WorkMagic is a generative AI-driven multi-agent marketing SaaS platform. Its objective is to offer e-commerce companies the automation and self-governance that is required to expand more quickly and stress-free by offering an approachable, AI-powered marketing platform.",WorkMagic is a generative AI-driven multi-agent marketing SaaS platform.,Sinovation Ventures,Seed,"$2,000,000","$2,000,000",11-50,"Newark, California, United States",8,2023
InSync,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/yoi1g9mw7chqd73omauj","Artificial Intelligence (AI), Information Services, Machine Learning, Software","InSync makes conversational AI accessible and easy to implement for enterprises without requiring any time or effort. Their conversational AI solution helps their clients drive sales, customer acquisitions, and scale their support operations at a fraction of the cost. They offer a platform that enables brands and retailers to develop deep, contextual, human-like chat assistants that work across platforms and applications.",InSync provides automation solutions with conversational AI for online lending and retail e-commerce companies.,"Foothill Ventures, BAM Ventures, Watertower Ventures, Vijay Krishnan, Arka Venture Labs",Seed,—,"$2,400,000",11-50,"San Jose, California, United States",6,2018
OneFor,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/zdrxt3mdze9oncpoaafi","FinTech, Payments",OneFor operates as a fintech enterprise. OneFor offers national and international money transfers and payments.,OneFor operates as a fintech enterprise.,Eagleville Group B.V,Seed,"€10,000,000","€10,000,000",51-100,"Düsseldorf, Nordrhein-Westfalen,",4,2020
Dataroid,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/zxuebooqnn4tx8jbgsw3","Analytics, Big Data, Data Visualization, Marketing, SaaS","Dataroid is a digital analytics and customer engagement solution, which helps businesses gain insights into customer behavior across their channels and grow their customer lifetime value by engaging them in a relevant and personalized way. The platform enables digital product owners and marketers to collect and analyze real-time customer interactions from web, mobile, and other customer channels, view unified user profiles, and create and distribute personalized messages across multiple engagement channels. Helping its clients to connect with over 40 million users, Dataroid solution is suitable for businesses with any size of user base across its digital channels. For more information, visit www.dataroid.com",Dataroid is an enterprise-level digital analytics and customer engagement solution that helps businesses grow their customer lifetime value.,"İşbank, TIBAS Ventures",Seed,"$2,000,000","$2,000,000",11-50,"Sariyer, Istanbul, Turkey",47,"Oct 1, 2021"
Enya.ai,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/cymdzeirxrairi0afva5","Analytics, Artificial Intelligence (AI), Finance, Information Technology, Internet, Mobile, Software","Founded by a Stanford team, Enya.ai offers the only secure computation platform optimized for edge devices such as mobile phones, drones, cars, and IoT sensors. With the rise of data privacy concerns and the increasing cost of complying with privacy regulations, companies are looking for solutions that help them reduce their data liability.",Edge-optimized secure computation,"Ulu Ventures, First Rays Venture Partners, Morado Ventures, Kosmos Ventures, XSeed Capital",Seed,"$1,500,000","$1,500,000",11-50,"Palo Alto, California, United States",115,2018
